Date	AAPL	SPY	TSLA	DAL	MRNA	AMZN
2024-09-30	0.017467228076569086	0.021004329643476316	0.22194201175563166	0.19533990811663338	-0.13656330085846458	0.043865556476496925
2024-10-31	-0.030429211451309057	-0.008923431171973806	-0.045025412068364634	0.12992437670674106	-0.18659286067696235	0.00037563497419568215
2024-11-30	0.05170702151471529	0.059633418953695116	0.3814688622385134	0.11534432131737771	-0.20787341998132225	0.1152897328156477
2024-12-31	0.055155165267847917	-0.02406017042926545	0.17000808915631316	-0.05202139953943874	-0.034370633883777146	0.05531771626226978
2025-01-31	-0.057583234908321734	0.026856345883270905	0.0018819576379678349	0.11190091393122903	-0.05194813773423501	0.08336748865953902
2025-02-28	0.025872441821147785	-0.012694736490296177	-0.2758773935575025	-0.10411016252140337	-0.21461185888987078	-0.10686635257151178
2025-03-31	-0.08150016089676093	-0.05571920643497963	-0.11543452131892018	-0.2747838007667357	-0.08430228618165303	-0.1037309421475675
2025-04-30	-0.043352951328328726	-0.008670166230189347	0.08874826236685496	-0.045183285243279414	0.006701958783104756	-0.030694820280155133
2025-05-31	-0.053584115788252284	0.06284493303163585	0.2278848417863253	0.16580221944919526	-0.0693763625111774	0.1116473080052216
2025-06-30	0.021508605533881342	0.051386230006752465	-0.08312644606383923	0.01632567471348656	0.038780147114320096	0.07014294555445688
2025-07-31	0.011697550949276492	0.023031446515753284	-0.02955995259140498	0.08575206619894549	0.07140265684883329	0.06709513314943583
2025-08-31	0.11963892122819564	0.02051958167671608	0.08304410748975077	0.16105992476735675	-0.18504734141341117	-0.021827348669553603
2025-09-30	0.096881326474346	0.03562033510828466	0.33201547825406585	-0.0814178730132018	0.07222913076367266	-0.04117900731782209
2025-10-31	0.06181516967143552	0.02383739357630099	0.026623485126352042	0.014191595061649132	0.051490512103541164	0.11226484981660545
2025-11-30	0.03236421756367314	0.0019500049129079766	-0.05780178787448975	0.11711390938442845	-0.04344625595747986	-0.04504135592915348
2025-12-31	-0.02506728904622013	0.0007975029584423865	0.045447119005781245	0.08268340651820161	0.13510393728743297	-0.010290686407351424
2026-01-31	-0.04553807543927224	0.014737728839574471	-0.04293782243658151	-0.05057648031236084	0.4944048842613209	0.036738564502459825
2026-02-28	0.01906584775625153	-0.008641958340223965	-0.06482189925675397	-0.00017434972454144493	0.2155661462624363	-0.12244046250772744
2026-03-31	-0.03932929687093156	-0.04937956664344334	-0.07642048401115797	0.011872205278325332	-0.05170805438759973	-0.008238074893043179
2026-04-30	0.06919111547343992	0.10505268686597247	0.026577013807162153	0.022713501411029124	-0.09566930479018598	0.27267485533749536
2026-05-31	0.15108715221843583	0.05262575303750272	0.14191757191298504	0.21633809539761106	0.02720940438324848	0.021051901989134425
2026-06-30	-0.07274245453871875	-0.010292566443839024	-0.034856243015127464	0.13554804435492662	0.4840008649557519	-0.11934679486514488
2026-07-31	0.15230159080339023	-0.0068026527002683634	-0.26569186490334173	-0.05179656290107593	-0.17292590063462443	-0.011915735426396568
